company,sector,year,role,language,wordcount,group,count_raw,count_norm
DaimlerTruck,Automobil,2022,ar,de,2671,Daten/Data,0,0.0
DaimlerTruck,Automobil,2023,ceo,de,3832,KI/AI,0,0.0
DaimlerTruck,Automobil,2023,ceo,de,3832,Daten/Data,0,0.0
DaimlerTruck,Automobil,2023,ar,de,2166,KI/AI,0,0.0
DaimlerTruck,Automobil,2023,ar,de,2166,Daten/Data,0,0.0
DaimlerTruck,Automobil,2024,ceo,de,3305,KI/AI,0,0.0
DaimlerTruck,Automobil,2024,ceo,de,3305,Daten/Data,0,0.0
DaimlerTruck,Automobil,2024,ar,de,2225,KI/AI,0,0.0
DaimlerTruck,Automobil,2024,ar,de,2225,Daten/Data,0,0.0
DaimlerTruck,Automobil,2025,ceo,de,1861,KI/AI,0,0.0
DaimlerTruck,Automobil,2025,ceo,de,1861,Daten/Data,0,0.0
DaimlerTruck,Automobil,2025,ar,de,1689,KI/AI,0,0.0
DaimlerTruck,Automobil,2025,ar,de,1689,Daten/Data,0,0.0
DeutscheBank,Banken,2022,ceo,de,5479,KI/AI,0,0.0
DeutscheBank,Banken,2022,ceo,de,5479,Daten/Data,1,0.1825
DeutscheBank,Banken,2022,ar,de,4052,KI/AI,0,0.0
DeutscheBank,Banken,2022,ar,de,4052,Daten/Data,0,0.0
DeutscheBank,Banken,2023,ceo,de,4064,KI/AI,0,0.0
DeutscheBank,Banken,2023,ceo,de,4064,Daten/Data,0,0.0
DeutscheBank,Banken,2023,ar,de,1934,KI/AI,0,0.0
DeutscheBank,Banken,2023,ar,de,1934,Daten/Data,0,0.0
DeutscheBank,Banken,2024,ceo,de,4283,KI/AI,1,0.2335
DeutscheBank,Banken,2024,ceo,de,4283,Daten/Data,0,0.0
DeutscheBank,Banken,2024,ar,de,1296,KI/AI,0,0.0
DeutscheBank,Banken,2024,ar,de,1296,Daten/Data,0,0.0
DeutscheBank,Banken,2025,ceo,de,3925,KI/AI,1,0.2548
DeutscheBank,Banken,2025,ceo,de,3925,Daten/Data,1,0.2548
DeutscheBank,Banken,2025,ar,de,1696,KI/AI,0,0.0
DeutscheBank,Banken,2025,ar,de,1696,Daten/Data,1,0.5896
DeutscheBoerse,Finanzdienstleistungen,2022,ceo,de,3500,KI/AI,4,1.1429
DeutscheBoerse,Finanzdienstleistungen,2022,ceo,de,3500,Daten/Data,24,6.8571
DeutscheBoerse,Finanzdienstleistungen,2022,ar,de,4758,KI/AI,2,0.4203
DeutscheBoerse,Finanzdienstleistungen,2022,ar,de,4758,Daten/Data,10,2.1017
DeutscheBoerse,Finanzdienstleistungen,2023,ceo,de,3823,KI/AI,0,0.0
DeutscheBoerse,Finanzdienstleistungen,2023,ceo,de,3823,Daten/Data,13,3.4005
DeutscheBoerse,Finanzdienstleistungen,2023,ar,de,3703,KI/AI,4,1.0802
DeutscheBoerse,Finanzdienstleistungen,2023,ar,de,3703,Daten/Data,4,1.0802
DeutscheBoerse,Finanzdienstleistungen,2024,ceo,de,2971,KI/AI,1,0.3366
DeutscheBoerse,Finanzdienstleistungen,2024,ceo,de,2971,Daten/Data,2,0.6732
DeutscheBoerse,Finanzdienstleistungen,2024,ar,de,2167,KI/AI,2,0.9229
DeutscheBoerse,Finanzdienstleistungen,2024,ar,de,2167,Daten/Data,3,1.3844
DeutscheBoerse,Finanzdienstleistungen,2025,ceo,de,3566,KI/AI,0,0.0
DeutscheBoerse,Finanzdienstleistungen,2025,ceo,de,3566,Daten/Data,2,0.5609
DeutscheBoerse,Finanzdienstleistungen,2025,ar,de,2568,KI/AI,7,2.7259
DeutscheBoerse,Finanzdienstleistungen,2025,ar,de,2568,Daten/Data,0,0.0
Eon,Energie,2022,ceo,de,2859,KI/AI,0,0.0
Eon,Energie,2022,ceo,de,2859,Daten/Data,0,0.0
Eon,Energie,2023,ceo,de,2376,KI/AI,0,0.0
Eon,Energie,2023,ceo,de,2376,Daten/Data,1,0.4209
Eon,Energie,2024,ceo,de,1899,KI/AI,0,0.0
Eon,Energie,2024,ceo,de,1899,Daten/Data,0,0.0
Eon,Energie,2025,ceo,de,2761,KI/AI,2,0.7244
Eon,Energie,2025,ceo,de,2761,Daten/Data,1,0.3622
Fresenius,Medizintechnik & Kliniken,2022,ceo,de,3747,KI/AI,0,0.0
Fresenius,Medizintechnik & Kliniken,2022,ceo,de,3747,Daten/Data,0,0.0
Fresenius,Medizintechnik & Kliniken,2023,ceo,de,2459,KI/AI,2,0.8133
Fresenius,Medizintechnik & Kliniken,2023,ceo,de,2459,Daten/Data,0,0.0
Fresenius,Medizintechnik & Kliniken,2024,ceo,de,3256,KI/AI,6,1.8428
Fresenius,Medizintechnik & Kliniken,2024,ceo,de,3256,Daten/Data,6,1.8428
Fresenius,Medizintechnik & Kliniken,2024,ar,de,1318,KI/AI,1,0.7587
Fresenius,Medizintechnik & Kliniken,2024,ar,de,1318,Daten/Data,0,0.0
Fresenius,Medizintechnik & Kliniken,2025,ceo,de,3497,KI/AI,7,2.0017
Fresenius,Medizintechnik & Kliniken,2025,ceo,de,3497,Daten/Data,2,0.5719
Fresenius,Medizintechnik & Kliniken,2025,ar,de,1325,KI/AI,0,0.0
Fresenius,Medizintechnik & Kliniken,2025,ar,de,1325,Daten/Data,0,0.0
FreseniusMedicalCare,Medizintechnik,2022,ceo,de,2708,KI/AI,0,0.0
FreseniusMedicalCare,Medizintechnik,2022,ceo,de,2708,Daten/Data,2,0.7386
FreseniusMedicalCare,Medizintechnik,2022,ar,de,4644,KI/AI,0,0.0
