company,sector,year,group,count_raw,count_norm,wordcount
HeidelbergMaterials,Baustoffe,2025,Daten/Data,4,1.2285,3215
HeidelbergMaterials,Baustoffe,2025,KI/AI,2,0.6222,3215
Henkel,Konsumgüter & Chemie,2022,Daten/Data,1,0.2296,4355
Henkel,Konsumgüter & Chemie,2022,KI/AI,0,0.0,4355
Henkel,Konsumgüter & Chemie,2023,Daten/Data,0,0.0,5505
Henkel,Konsumgüter & Chemie,2023,KI/AI,0,0.0,5505
Henkel,Konsumgüter & Chemie,2024,Daten/Data,1,0.2465,4056
Henkel,Konsumgüter & Chemie,2024,KI/AI,1,0.2465,4056
Henkel,Konsumgüter & Chemie,2025,Daten/Data,0,0.0,3951
Henkel,Konsumgüter & Chemie,2025,KI/AI,5,1.2655,3951
Infineon,Halbleiter,2022,Daten/Data,2,0.2812,3981
Infineon,Halbleiter,2022,KI/AI,0,0.0,3981
Infineon,Halbleiter,2023,Daten/Data,5,0.66595,4688
Infineon,Halbleiter,2023,KI/AI,3,0.39955,4688
Infineon,Halbleiter,2024,Daten/Data,2,0.24255,4653
Infineon,Halbleiter,2024,KI/AI,7,0.8489,4653
Infineon,Halbleiter,2025,Daten/Data,1,0.1329,4337
Infineon,Halbleiter,2025,KI/AI,52,6.9112,4337
MTU,Luftfahrt,2022,Daten/Data,0,0.0,2396
MTU,Luftfahrt,2022,KI/AI,0,0.0,2396
MTU,Luftfahrt,2023,Daten/Data,0,0.0,4300
MTU,Luftfahrt,2023,KI/AI,0,0.0,4300
MTU,Luftfahrt,2024,Daten/Data,0,0.0,6246
MTU,Luftfahrt,2024,KI/AI,0,0.0,6246
MTU,Luftfahrt,2025,Daten/Data,0,0.0,6967
MTU,Luftfahrt,2025,KI/AI,0,0.0,6967
Mercedes,Automobil,2022,Daten/Data,0,0.0,22
Mercedes,Automobil,2022,KI/AI,0,0.0,22
Mercedes,Automobil,2023,Daten/Data,0,0.0,19
Mercedes,Automobil,2023,KI/AI,0,0.0,19
Mercedes,Automobil,2024,Daten/Data,1,0.2057,2462
Mercedes,Automobil,2024,KI/AI,1,0.2057,2462
Mercedes,Automobil,2025,Daten/Data,0,0.0,41
Mercedes,Automobil,2025,KI/AI,0,0.0,41
Merck,Chemie & Pharma,2022,Daten/Data,7,1.9364,3615
Merck,Chemie & Pharma,2022,KI/AI,0,0.0,3615
Merck,Chemie & Pharma,2023,Daten/Data,0,0.0,3634
Merck,Chemie & Pharma,2023,KI/AI,0,0.0,3634
Merck,Chemie & Pharma,2024,Daten/Data,1,0.3582,2792
Merck,Chemie & Pharma,2024,KI/AI,3,1.0745,2792
Merck,Chemie & Pharma,2025,Daten/Data,0,0.0,3051
Merck,Chemie & Pharma,2025,KI/AI,12,3.9331,3051
MunichRe,Versicherungen,2022,Daten/Data,1,0.17245,4531
MunichRe,Versicherungen,2022,KI/AI,0,0.0,4531
MunichRe,Versicherungen,2023,Daten/Data,2,0.50995,5122
MunichRe,Versicherungen,2023,KI/AI,1,0.25495,5122
MunichRe,Versicherungen,2024,Daten/Data,0,0.0,4351
MunichRe,Versicherungen,2024,KI/AI,1,0.3075,4351
MunichRe,Versicherungen,2025,Daten/Data,0,0.0,5045
MunichRe,Versicherungen,2025,KI/AI,0,0.0,5045
PorscheSE,Holding,2022,Daten/Data,0,0.0,2630
PorscheSE,Holding,2022,KI/AI,0,0.0,2630
PorscheSE,Holding,2023,Daten/Data,0,0.0,4647
PorscheSE,Holding,2023,KI/AI,3,0.4723,4647
PorscheSE,Holding,2024,Daten/Data,0,0.0,3684
PorscheSE,Holding,2024,KI/AI,4,0.70895,3684
PorscheSE,Holding,2025,Daten/Data,1,0.1902,3480
PorscheSE,Holding,2025,KI/AI,3,0.57055,3480
RWE,Energie,2022,Daten/Data,0,0.0,4720
RWE,Energie,2022,KI/AI,0,0.0,4720
RWE,Energie,2023,Daten/Data,0,0.0,3251
RWE,Energie,2023,KI/AI,0,0.0,3251
RWE,Energie,2024,Daten/Data,0,0.0,2897
RWE,Energie,2024,KI/AI,0,0.0,2897
RWE,Energie,2025,Daten/Data,0,0.0,3813
RWE,Energie,2025,KI/AI,3,0.54765,3813
Rheinmetall,Wehrtechnik,2022,Daten/Data,0,0.0,0
Rheinmetall,Wehrtechnik,2022,KI/AI,0,0.0,0
Rheinmetall,Wehrtechnik,2024,Daten/Data,0,0.0,4635
Rheinmetall,Wehrtechnik,2024,KI/AI,0,0.0,4635
Rheinmetall,Wehrtechnik,2025,Daten/Data,0,0.0,6899
Rheinmetall,Wehrtechnik,2025,KI/AI,5,0.78555,6899
SAP,Software,2022,Daten/Data,0,0.0,4308
SAP,Software,2022,KI/AI,0,0.0,4308
SAP,Software,2023,Daten/Data,3,0.43165,5194
