company,sector,year,role,speaker,language,confidence,wordcount,filename
HeidelbergMaterials,Baustoffe,2022,ceo,Dominik von Achten,de,high,441,HeidelbergMaterials/2022/DE_Kernbotschaften Rede des Vorstandsvorsitzenden HV 2022_0.pdf
HeidelbergMaterials,Baustoffe,2023,ceo,Dominik von Achten,de,high,652,HeidelbergMaterials/2023/Kernbotschaften HV 2023.pdf
HeidelbergMaterials,Baustoffe,2024,ceo,Dominik von Achten,de,high,1014,HeidelbergMaterials/2024/Kernbotschaften_HV_2024.pdf
HeidelbergMaterials,Baustoffe,2024,ar,Fritz-Jürgen Heckmann,en,high,1528,HeidelbergMaterials/2024/Chairmans_letter_2024.pdf
HeidelbergMaterials,Baustoffe,2025,ceo,Dominik von Achten,de,high,1626,HeidelbergMaterials/2025/Hauptversammlung 2025_Rede Dominik von Achten.pdf
HeidelbergMaterials,Baustoffe,2025,ar,Fritz-Jürgen Heckmann,en,high,1587,HeidelbergMaterials/2025/Chairmans_letter_2025.pdf
Henkel,Konsumgüter & Chemie,2022,ceo,Carsten Knobel,de,high,4353,Henkel/2022/hv-2022-rede-carsten-knobel.pdf
Henkel,Konsumgüter & Chemie,2023,ceo,Carsten Knobel,de,high,5506,Henkel/2023/henkel-hauptversammlung-2023-ceo-rede-carsten-knobel.pdf
Henkel,Konsumgüter & Chemie,2024,ceo,Carsten Knobel,de,high,4052,Henkel/2024/henkel-hauptversammlung-2024-ceo-rede-vorabveroeffentlichung-16042024.pdf
Henkel,Konsumgüter & Chemie,2025,ceo,Carsten Knobel,de,high,3944,Henkel/2025/ceo-rede-henkel-hv-2025-28-april-2025.pdf
Infineon,Halbleiter,2022,ceo,Reinhard Ploss,de,high,3552,Infineon/2022/infineon-agm-speech-ploss-otherdocument-v07-00-de.pdf
Infineon,Halbleiter,2022,ar,Johann Georg Eder,de,high,427,Infineon/2022/infineon-kernpunkte-der-rede-eder-otherdocument-v01-00-de.pdf
Infineon,Halbleiter,2023,ceo,Jochen Hanebeck,de,high,3772,Infineon/2023/infineon-agm-speech-hanebeck-otherdocument-v02-00-de.pdf
Infineon,Halbleiter,2023,ar,Herbert Diess,de,high,935,Infineon/2023/infineon-agm-kernpunkte-der-rede-otherdocument-v02-00-en.pdf
Infineon,Halbleiter,2024,ceo,Jochen Hanebeck,de,high,4115,Infineon/2024/2024-rede-hanebeck-v01-00-de.pdf
Infineon,Halbleiter,2024,ar,Herbert Diess,de,high,528,Infineon/2024/2024-kernpunkte-rede-dr-diess-v01-00-de.pdf
Infineon,Halbleiter,2025,ceo,Jochen Hanebeck,de,high,3776,Infineon/2025/hv-2025-rede-ceo-hanebeck-v01-00-de.pdf
Infineon,Halbleiter,2025,ar,Herbert Diess,de,high,575,Infineon/2025/hv2025-kernpunkte-rede-diess-v01-00-de.pdf
MTU,Luftfahrt,2022,ceo,Reiner Winkler,de,high,2388,MTU/2022/2022_HV_18_RedeCEO.pdf
MTU,Luftfahrt,2023,ceo,Reiner Winkler,de,high,2621,MTU/2023/2023_HV_20_Vorstandsrede_de_final.pdf
MTU,Luftfahrt,2023,ar,Andreas Riske,de,high,1665,MTU/2023/2023_HV_21_Rede_Aufsichtsrat_de_final.pdf
MTU,Luftfahrt,2024,ceo,Reiner Winkler,de,high,3775,MTU/2024/2024_HV_D_02_CEO_Rede_HV_2024.pdf
MTU,Luftfahrt,2024,ar,Andreas Riske,de,high,2462,MTU/2024/2024_HV_D_01_Rede_Riske_.pdf
MTU,Luftfahrt,2025,ceo,Reiner Winkler,de,high,4930,MTU/2025/2025_HV_C_02_CEO-Rede_dt.pdf
MTU,Luftfahrt,2025,ar,Andreas Riske,de,high,2076,MTU/2025/2025_HV_C_01_Aufsichtsrat_Rede_de.pdf
Mercedes,Automobil,2022,ceo,Ola Källenius,de,high,1982,Mercedes/2022/mercedes-benz-ir-hv-2022-rede-vorstandsvorsitzender-ola-kaellenius.pdf
Mercedes,Automobil,2022,ar,Bernd Pischetsrieder,de,high,1522,Mercedes/2022/mercedes-benz-ir-hv-2022-rede-aufsichtsratsvorsitzender-bernd-pischetsrieder.pdf
Mercedes,Automobil,2023,ceo,Ola Källenius,de,high,2270,Mercedes/2023/mercedes-benz-ir-hv-2023-rede-vorstandsvorsitzender-ola-kaellenius.pdf
Mercedes,Automobil,2023,ar,Bernd Pischetsrieder,de,high,1716,Mercedes/2023/mercedes-benz-ir-hv-2023-rede-aufsichtsratsvorsitzender-bernd-pischetsrieder.pdf
Mercedes,Automobil,2024,ceo,Ola Källenius,de,high,2630,Mercedes/2024/mercedes-benz-ir-hv-2024-rede-vorstandsvorsitzender-ola-kaellenius.pdf
Mercedes,Automobil,2024,ar,Bernd Pischetsrieder,de,high,2429,Mercedes/2024/mercedes-benz-ir-hv-2024-rede-aufsichtsratsvorsitzender-bernd-pischetsrieder.pdf
Mercedes,Automobil,2025,ceo,Ola Källenius,de,high,2989,Mercedes/2025/mercedes-benz-ir-hv-2025-rede-vorstandsvorsitzender-ola-kaellenius.pdf
Mercedes,Automobil,2025,ar,Martin Brudermüller,de,high,2812,Mercedes/2025/mercedes-benz-ir-hv-2025-rede-aufsichtsratsvorsitzender-martin-brudermueller.pdf
Merck,Chemie & Pharma,2022,ceo,Belén Garijo,de,high,3615,Merck/2022/HV-2022-Chairmans-Report-DE.pdf
Merck,Chemie & Pharma,2024,ceo,Belén Garijo,de,high,2792,Merck/2024/AGM-2024-Chairmans-Report-DE.pdf
Merck,Chemie & Pharma,2025,ceo,Belén Garijo,de,high,3051,Merck/2025/AGM-2025-Chairmans-Report-DE.pdf
Merck,Chemie & Pharma,2023,ceo,Belén Garijo,de,high,3634,Merck/2023/AGM-2023-Chairmans-Report-DE.pdf
MunichRe,Versicherungen,2022,ceo,Joachim Wenning,en,high,2902,MunichRe/2022/AGM_2022_Report_Wenning_EN.pdf
MunichRe,Versicherungen,2022,ar,Nikolaus von Bomhard,en,high,1634,MunichRe/2022/AGM_2022_Report_vBomhard_EN.pdf
MunichRe,Versicherungen,2023,ceo,Joachim Wenning,en,high,3163,MunichRe/2023/HV23-Bericht-Wenning-EN.pdf
MunichRe,Versicherungen,2023,ar,Nikolaus von Bomhard,en,high,1962,MunichRe/2023/HV23-Bericht-vBomhard-EN.pdf
MunichRe,Versicherungen,2024,ceo,Joachim Wenning,en,high,2713,MunichRe/2024/HV24-Bericht-CEO-EN.pdf
MunichRe,Versicherungen,2024,ar,Nikolaus von Bomhard,en,high,1616,MunichRe/2024/HV24-Bericht-ARV-EN.pdf
MunichRe,Versicherungen,2025,ceo,Joachim Wenning,en,high,2951,MunichRe/2025/HV25-Bericht-Vorstandsvorsitzender-EN.pdf
MunichRe,Versicherungen,2025,ar,Nikolaus von Bomhard,en,high,2073,MunichRe/2025/HV25-Bericht-ARV-EN.pdf
PorscheSE,Holding,2022,ceo,Hans Dieter Pötsch,de,high,2636,PorscheSE/2022/PSE_HV2022_Rede_Hans_Dieter_Poetsch_de.pdf
PorscheSE,Holding,2023,ceo,Hans Dieter Pötsch,de,high,3183,PorscheSE/2023/PSE_HV2023_Rede_Hans_Dieter_Poetsch_de.pdf
PorscheSE,Holding,2023,ar,ARV Porsche SE,de,high,1523,PorscheSE/2023/PSE_HV_2023_Explanations_to_the_report_of_the_Supervisory_Board_Pre-release_22.06.2023.pdf
PorscheSE,Holding,2024,ceo,Hans Dieter Pötsch,de,high,2830,PorscheSE/2024/PSE_HV2024_Rede_Hans_Dieter_Poetsch_de.pdf
PorscheSE,Holding,2024,ar,ARV Porsche SE,de,high,892,PorscheSE/2024/PSE_HV2024_Erlaeuterungen_zum_Bericht_des_Aufsichtsrats_Vorabveroeffentlichu...6.2024.pdf
PorscheSE,Holding,2025,ceo,Hans Dieter Pötsch,de,high,2652,PorscheSE/2025/PSE_HV2025_Rede_von_Hans_Dieter_Poetsch.pdf
PorscheSE,Holding,2025,ar,ARV Porsche SE,de,high,881,PorscheSE/2025/PSE_HV2025_Erlaeuterungen_zum_Bericht_des_Aufsichtsrats_Vorabveroeffentlichung.pdf
Rheinmetall,Wehrtechnik,2022,ar,Arnd Putlitz,de,high,1665,Rheinmetall/2022/8_DE_Rheinmetall_HV_2022_Chairman_Letter_V4.pdf
Rheinmetall,Wehrtechnik,2024,ceo,Armin Papperger,de,high,3579,Rheinmetall/2024/Rheinmetall_HV-Rede_Herr_Papperger_2024_05_14_zur_Veroeffentlichung.pdf
Rheinmetall,Wehrtechnik,2024,ar,Arnd Putlitz,de,high,1060,Rheinmetall/2024/11_DE_Chairman_Letter_HV_2024.pdf
Rheinmetall,Wehrtechnik,2025,ceo,Armin Papperger,de,high,5767,Rheinmetall/2025/Rheinmetall_HV-Rede_Herr_Papperger_2025_05_13.pdf
Rheinmetall,Wehrtechnik,2025,ar,Arnd Putlitz,de,high,1141,Rheinmetall/2025/7_DE_250325_chairman_letter_AGM.pdf
RWE,Energie,2022,ceo,Markus Krebber,de,high,3455,RWE/2022/hv-2022-rede-des-vorstandsvorsitzenden.pdf
